venue_name,venue_type,block,floor,capacity,projector,led_tv,smart_board,ac,wifi,cctv,audio_video,num_pcs,department_preference,status
ME002,Classroom,Mechanical Science Block,Ground floor,8,1,1,1,0,1,1,0,1,Agri,Active
ME004,Classroom,Mechanical Science Block,Ground floor,18,1,1,1,0,1,1,0,1,Agri,Active
ME005,Classroom,Mechanical Science Block,Ground floor,8,1,1,1,0,1,1,0,1,Agri,Active
ME101,Classroom,Mechanical Science Block,1st Floor,90,1,1,1,1,1,1,1,1,Mech,Active
ME102,Classroom,Mechanical Science Block,1st Floor,90,1,1,1,1,1,1,1,1,Mech,Active
ME107,Classroom,Mechanical Science Block,1st Floor,90,1,1,1,1,1,1,1,1,Mech,Active
ME108,Classroom,Mechanical Science Block,1st Floor,90,1,1,1,1,1,1,1,1,Mech,Active
ME201,Classroom,Mechanical Science Block,2nd Floor,90,1,1,1,1,1,1,1,1,AIML,Active
ME202,Classroom,Mechanical Science Block,2nd Floor,90,1,1,1,1,1,1,1,1,AIML,Active
ME203,Classroom,Mechanical Science Block,2nd Floor,90,1,1,1,1,1,1,1,1,AIML,Active
ME204,Classroom,Mechanical Science Block,2nd Floor,90,1,1,1,1,1,1,1,1,AIML,Active
ME205,Classroom,Mechanical Science Block,2nd Floor,90,1,1,1,1,1,1,1,1,AIML,Active
ME206,Classroom,Mechanical Science Block,2nd Floor,90,1,1,1,1,1,1,1,1,AIML,Active
ME301,Classroom,Mechanical Science Block,3rd Floor,90,1,1,1,1,1,1,1,1,AIDS / ISE / CSD / CT / CSBS,Active
ME302,Classroom,Mechanical Science Block,3rd Floor,90,1,1,1,1,1,1,1,1,General,Active
ME303,Classroom,Mechanical Science Block,3rd Floor,90,1,1,1,1,1,1,1,1,General,Active
ME304,Classroom,Mechanical Science Block,3rd Floor,90,1,1,1,1,1,1,1,1,General,Active
ME305,Classroom,Mechanical Science Block,3rd Floor,90,1,1,1,1,1,1,1,1,General,Active
ME306,Classroom,Mechanical Science Block,3rd Floor,90,1,1,1,1,1,1,1,1,General,Active
ME103,PG Small Hall,Mechanical Science Block,1st Floor,40,0,0,0,0,1,0,0,0,CSBS,Active
ME104,PG Small Hall,Mechanical Science Block,1st Floor,40,0,0,0,0,1,0,0,0,CT,Active
ME105,PG Small Hall,Mechanical Science Block,1st Floor,12,1,1,1,0,1,1,0,1,CSD,Active
ME106,PG Small Hall,Mechanical Science Block,1st Floor,18,1,1,1,0,1,1,0,1,AIML,Active
Mech Smart class,Smart Class,Mechanical Science Block,Ground Floor,32,1,1,1,0,1,1,1,1,Mech,Active
Mech library,Library,Mechanical Science Block,Ground Floor,40,1,1,1,0,1,1,0,4,Mech,Active
Mech Conferencee Room,CONFERENCE HALL,Mechanical Science Block,Ground Floor,10,1,1,0,0,0,0,1,0,Mech,Active
Cyber security Lab,Lab,Mechanical Science Block,Ground Floor,60,1,1,1,0,1,1,1,1,Mech,Active
Thermal engineering lab,Lab,Mechanical Science Block,Ground Floor,24,0,0,0,0,0,0,0,0,Mech,Active
Fluid Mechanics and Machinery lab,Lab,Mechanical Science Block,Ground Floor,32,0,0,0,0,0,0,0,0,Mech,Active
Strength of materials,Lab,Mechanical Science Block,Ground Floor,48,0,0,0,0,0,0,0,0,Mech,Active
Kinematics and Dynamics Lab,Lab,Mechanical Science Block,Ground Floor,34,0,0,0,0,0,0,0,0,Mech,Active
Metallargy Lab,Lab,Mechanical Science Block,Ground Floor,24,0,0,0,0,0,0,0,0,Mech,Active
