course_code,department,year,semester,student_count,faculty_id,day_of_week,start_time,end_time,venue_name
AIML146,AIML,3,6,47,FAC5118,Monday,09:00,10:00,SF B02
TEXTILE494,TEXTILE,2,3,57,FAC5070,Monday,11:15,12:15,SF B02
EEE395,EEE,3,6,46,FAC5063,Monday,12:15,13:15,SF B02
ECE452,ECE,3,6,48,FAC5001,Monday,14:00,15:00,SF B02
EEE482,EEE,4,8,48,FAC5108,Tuesday,10:00,11:00,SF B02
ECE268,ECE,3,6,59,FAC5122,Tuesday,15:00,16:00,SF B02
CSE286,CSE,1,2,37,FAC5035,Tuesday,14:00,15:00,SF B02
TEXTILE477,TEXTILE,2,3,40,FAC5098,Wednesday,11:15,12:15,SF B02
CIVIL478,CIVIL,2,4,41,FAC5063,Wednesday,14:00,15:00,SF B02
CSE314,CSE,4,8,44,FAC5018,Wednesday,15:00,16:00,SF B02
IT491,IT,4,8,38,FAC5047,Thursday,11:15,12:15,SF B02
AIDS310,AIDS,2,3,58,FAC5043,Thursday,12:15,13:15,SF B02
MECH383,MECH,4,7,40,FAC5022,Thursday,10:00,11:00,SF B02
IT428,IT,4,7,40,FAC5081,Thursday,09:00,10:00,SF B02
CSE329,CSE,2,4,38,FAC5078,Friday,14:00,15:00,SF B02
TEXTILE108,TEXTILE,1,2,43,FAC5009,Friday,09:00,10:00,SF B02
IT336,IT,2,4,44,FAC5022,Friday,11:15,12:15,SF B02
ECE256,ECE,1,1,55,FAC5099,Monday,09:00,10:00,WW 223
CSE412,CSE,3,5,52,FAC5132,Monday,11:15,12:15,WW 223
TEXTILE434,TEXTILE,4,7,36,FAC5027,Monday,15:00,16:00,WW 223
ECE380,ECE,2,4,44,FAC5055,Tuesday,14:00,15:00,WW 223
CIVIL351,CIVIL,1,2,46,FAC5037,Tuesday,09:00,10:00,WW 223
CIVIL363,CIVIL,4,7,50,FAC5086,Tuesday,11:15,12:15,WW 223
CSE214,CSE,4,7,60,FAC5094,Wednesday,14:00,15:00,WW 223
ECE312,ECE,2,4,51,FAC5061,Wednesday,12:15,13:15,WW 223
EEE308,EEE,4,8,38,FAC5085,Wednesday,11:15,12:15,WW 223
IT325,IT,4,8,58,FAC5018,Wednesday,09:00,10:00,WW 223
CIVIL205,CIVIL,2,4,47,FAC5002,Thursday,14:00,15:00,WW 223
AIDS287,AIDS,2,4,54,FAC5071,Thursday,09:00,10:00,WW 223
IT185,IT,1,2,48,FAC5017,Thursday,10:00,11:00,WW 223
IT116,IT,3,5,36,FAC5017,Thursday,11:15,12:15,WW 223
CSE113,CSE,2,3,46,FAC5071,Friday,11:15,12:15,WW 223
EEE427,EEE,1,2,60,FAC5064,Friday,15:00,16:00,WW 223
AIML341,AIML,4,8,39,FAC5108,Friday,12:15,13:15,WW 223
IT114,IT,3,6,58,FAC5070,Friday,10:00,11:00,WW 223
ECE196,ECE,2,3,44,FAC5036,Monday,14:00,15:00,ME301
IT485,IT,3,5,55,FAC5083,Monday,11:15,12:15,ME301
IT259,IT,4,8,54,FAC5117,Monday,09:00,10:00,ME301
CSE229,CSE,3,5,60,FAC5089,Monday,10:00,11:00,ME301
AIML233,AIML,1,2,44,FAC5016,Tuesday,15:00,16:00,ME301
ECE375,ECE,1,2,48,FAC5121,Tuesday,12:15,13:15,ME301
CIVIL205,CIVIL,4,8,60,FAC5115,Tuesday,10:00,11:00,ME301
AIML299,AIML,3,6,59,FAC5068,Tuesday,09:00,10:00,ME301
IT495,IT,2,4,51,FAC5096,Wednesday,11:15,12:15,ME301
CSE286,CSE,3,5,46,FAC5004,Wednesday,15:00,16:00,ME301
MECH234,MECH,3,5,36,FAC5112,Wednesday,10:00,11:00,ME301
MECH350,MECH,4,8,47,FAC5124,Thursday,09:00,10:00,ME301
IT208,IT,4,7,39,FAC5031,Thursday,15:00,16:00,ME301
EEE219,EEE,3,6,43,FAC5080,Thursday,14:00,15:00,ME301
IT288,IT,3,6,38,FAC5132,Friday,11:15,12:15,ME301
EEE161,EEE,4,7,47,FAC5082,Friday,09:00,10:00,ME301
IT168,IT,2,3,58,FAC5110,Friday,15:00,16:00,ME301
AIML150,AIML,4,8,47,FAC5015,Friday,14:00,15:00,ME301
ECE450,ECE,4,8,38,FAC5076,Monday,12:15,13:15,EW 101
EEE224,EEE,2,4,54,FAC5065,Monday,11:15,12:15,EW 101
TEXTILE350,TEXTILE,2,4,54,FAC5119,Monday,14:00,15:00,EW 101
ECE139,ECE,1,1,60,FAC5119,Tuesday,10:00,11:00,EW 101
CIVIL110,CIVIL,2,3,37,FAC5099,Tuesday,15:00,16:00,EW 101
TEXTILE386,TEXTILE,2,4,50,FAC5113,Tuesday,11:15,12:15,EW 101
TEXTILE324,TEXTILE,2,4,40,FAC5122,Tuesday,12:15,13:15,EW 101
AIDS105,AIDS,2,4,40,FAC5076,Wednesday,09:00,10:00,EW 101
CIVIL277,CIVIL,2,4,48,FAC5070,Wednesday,12:15,13:15,EW 101
EEE178,EEE,1,2,55,FAC5098,Wednesday,15:00,16:00,EW 101
