booking_id,venue_name,purpose,student_count,faculty_id,department,start_time,end_time,date,status,utilization_rate,satisfaction_score,is_peak_hour
BKG100000,ME002,Class,1,FAC5129,CIVIL,12:00,15:00,2026-05-30,Approved,0.12,4,0
BKG100001,ME002,Class,5,FAC5084,TEXTILE,10:00,13:00,2026-07-09,Approved,0.62,3,1
BKG100002,ME002,Training,8,FAC5006,AIDS,15:00,17:00,2026-07-02,Approved,1.0,4,0
BKG100003,ME004,Training,7,FAC5044,EEE,10:00,12:00,2026-06-06,Approved,0.39,3,1
BKG100004,ME004,Class,16,FAC5048,CSE,09:00,10:00,2026-05-11,Approved,0.89,3,1
BKG100005,ME004,Class,16,FAC5008,AIML,15:00,18:00,2026-06-26,Approved,0.89,5,0
BKG100006,ME005,Meeting,4,FAC5001,AIML,11:00,14:00,2026-07-17,Approved,0.5,3,1
BKG100007,ME005,Training,6,FAC5034,IT,12:00,14:00,2026-06-09,Approved,0.75,4,0
BKG100008,ME005,Meeting,6,FAC5125,MECH,14:00,16:00,2026-06-28,Approved,0.75,3,0
BKG100009,ME101,Meeting,77,FAC5032,EEE,15:00,18:00,2026-07-07,Approved,0.86,3,0
BKG100010,ME101,Training,83,FAC5125,TEXTILE,14:00,17:00,2026-05-25,Approved,0.92,4,0
BKG100011,ME101,Meeting,76,FAC5018,ECE,11:00,14:00,2026-05-06,Approved,0.84,4,1
BKG100012,ME102,Meeting,86,FAC5110,ECE,10:00,11:00,2026-07-11,Approved,0.96,4,1
BKG100013,ME102,Training,86,FAC5052,CSE,15:00,17:00,2026-06-25,Approved,0.96,5,0
BKG100014,ME102,Training,79,FAC5079,ECE,14:00,15:00,2026-06-03,Approved,0.88,4,0
BKG100015,ME107,Class,84,FAC5008,MECH,11:00,12:00,2026-07-22,Approved,0.93,5,1
BKG100016,ME107,Meeting,73,FAC5032,EEE,14:00,17:00,2026-05-25,Approved,0.81,5,0
BKG100017,ME107,Class,73,FAC5084,TEXTILE,15:00,17:00,2026-05-10,Approved,0.81,5,0
BKG100018,ME108,Meeting,76,FAC5065,TEXTILE,15:00,16:00,2026-06-01,Approved,0.84,4,0
BKG100019,ME108,Training,83,FAC5074,EEE,10:00,12:00,2026-05-13,Approved,0.92,4,1
BKG100020,ME108,Training,78,FAC5106,IT,09:00,12:00,2026-07-18,Approved,0.87,5,1
BKG100021,ME201,Class,70,FAC5028,ECE,12:00,14:00,2026-06-04,Approved,0.78,4,0
BKG100022,ME201,Training,85,FAC5127,ECE,09:00,11:00,2026-05-23,Approved,0.94,5,1
BKG100023,ME201,Class,89,FAC5111,TEXTILE,10:00,12:00,2026-05-28,Approved,0.99,4,1
BKG100024,ME202,Class,72,FAC5007,AIML,11:00,12:00,2026-07-05,Approved,0.8,3,1
BKG100025,ME202,Class,74,FAC5070,AIML,11:00,12:00,2026-06-22,Approved,0.82,4,1
BKG100026,ME202,Training,74,FAC5131,TEXTILE,09:00,11:00,2026-07-20,Approved,0.82,3,1
BKG100027,ME203,Class,88,FAC5058,MECH,15:00,18:00,2026-05-25,Approved,0.98,4,0
BKG100028,ME203,Class,88,FAC5110,AIDS,14:00,16:00,2026-05-02,Approved,0.98,5,0
BKG100029,ME203,Class,77,FAC5040,EEE,10:00,11:00,2026-06-07,Approved,0.86,4,1
BKG100030,ME204,Meeting,81,FAC5069,TEXTILE,10:00,11:00,2026-05-31,Approved,0.9,3,1
BKG100031,ME204,Meeting,89,FAC5021,MECH,12:00,13:00,2026-06-04,Approved,0.99,4,0
BKG100032,ME204,Meeting,79,FAC5042,IT,09:00,10:00,2026-06-29,Approved,0.88,3,1
BKG100033,ME205,Training,81,FAC5058,AIML,10:00,13:00,2026-06-23,Approved,0.9,4,1
BKG100034,ME205,Meeting,88,FAC5059,IT,10:00,13:00,2026-06-22,Approved,0.98,5,1
BKG100035,ME205,Class,77,FAC5023,MECH,09:00,10:00,2026-06-07,Approved,0.86,3,1
BKG100036,ME206,Training,88,FAC5014,AIML,12:00,13:00,2026-05-28,Approved,0.98,3,0
BKG100037,ME206,Class,88,FAC5006,IT,15:00,17:00,2026-06-12,Approved,0.98,3,0
BKG100038,ME206,Meeting,85,FAC5009,AIML,09:00,10:00,2026-06-07,Approved,0.94,4,1
BKG100039,ME301,Class,71,FAC5084,CSE,11:00,12:00,2026-07-02,Approved,0.79,3,1
BKG100040,ME301,Class,78,FAC5011,AIML,09:00,10:00,2026-05-14,Approved,0.87,3,1
BKG100041,ME301,Class,78,FAC5132,CSE,15:00,18:00,2026-06-04,Approved,0.87,4,0
BKG100042,ME302,Meeting,86,FAC5101,IT,09:00,11:00,2026-07-12,Approved,0.96,3,1
BKG100043,ME302,Meeting,90,FAC5105,IT,14:00,15:00,2026-05-10,Approved,1.0,4,0
BKG100044,ME302,Training,82,FAC5084,TEXTILE,15:00,17:00,2026-07-12,Approved,0.91,3,0
BKG100045,ME303,Class,89,FAC5013,AIML,11:00,13:00,2026-06-25,Approved,0.99,4,1
BKG100046,ME303,Meeting,78,FAC5131,IT,15:00,17:00,2026-05-27,Approved,0.87,3,0
BKG100047,ME303,Class,83,FAC5030,CIVIL,10:00,11:00,2026-05-05,Approved,0.92,4,1
BKG100048,ME304,Class,88,FAC5026,EEE,10:00,12:00,2026-06-29,Approved,0.98,4,1
BKG100049,ME304,Class,83,FAC5071,TEXTILE,14:00,16:00,2026-06-10,Approved,0.92,5,0
BKG100050,ME304,Training,80,FAC5032,AIML,11:00,13:00,2026-05-21,Approved,0.89,4,1
BKG100051,ME305,Training,76,FAC5078,AIML,10:00,13:00,2026-05-08,Approved,0.84,5,1
BKG100052,ME305,Training,84,FAC5068,AIML,15:00,18:00,2026-05-01,Approved,0.93,4,0
BKG100053,ME305,Meeting,76,FAC5078,AIDS,14:00,17:00,2026-07-13,Approved,0.84,3,0
BKG100054,ME306,Class,72,FAC5113,CIVIL,12:00,13:00,2026-05-02,Approved,0.8,4,0
BKG100055,ME306,Training,88,FAC5006,MECH,09:00,11:00,2026-07-12,Approved,0.98,4,1
BKG100056,ME306,Training,79,FAC5024,CSE,14:00,16:00,2026-05-13,Approved,0.88,3,0
BKG100057,ME103,Meeting,25,FAC5035,EEE,14:00,15:00,2026-06-18,Approved,0.62,5,0
BKG100058,ME103,Meeting,24,FAC5043,AIML,10:00,12:00,2026-05-21,Approved,0.6,5,1
BKG100059,ME103,Meeting,24,FAC5036,MECH,15:00,16:00,2026-05-20,Approved,0.6,4,0
BKG100060,ME104,Class,22,FAC5060,IT,09:00,10:00,2026-05-16,Approved,0.55,3,1
BKG100061,ME104,Training,37,FAC5015,IT,11:00,12:00,2026-06-18,Approved,0.93,5,1
BKG100062,ME104,Class,40,FAC5064,ECE,12:00,13:00,2026-07-22,Approved,1.0,4,0
BKG100063,ME105,Meeting,6,FAC5101,AIML,10:00,11:00,2026-06-15,Approved,0.5,5,1
BKG100064,ME105,Training,5,FAC5017,TEXTILE,10:00,13:00,2026-05-18,Approved,0.42,5,1
BKG100065,ME105,Class,10,FAC5018,CSE,10:00,12:00,2026-05-07,Approved,0.83,5,1
BKG100066,ME106,Class,15,FAC5064,IT,10:00,11:00,2026-06-23,Approved,0.83,4,1
BKG100067,ME106,Training,14,FAC5106,IT,14:00,16:00,2026-07-17,Approved,0.78,3,0
BKG100068,ME106,Meeting,11,FAC5044,IT,14:00,17:00,2026-06-14,Approved,0.61,4,0
BKG100069,Mech Smart class,Meeting,16,FAC5055,TEXTILE,15:00,16:00,2026-05-09,Approved,0.5,5,0
BKG100070,Mech Smart class,Class,26,FAC5038,AIDS,10:00,13:00,2026-06-07,Approved,0.81,5,1
BKG100071,Mech Smart class,Class,20,FAC5068,IT,14:00,17:00,2026-04-30,Approved,0.62,3,0
BKG100072,Mech library,Training,35,FAC5046,TEXTILE,09:00,10:00,2026-06-07,Approved,0.88,4,1
BKG100073,Mech library,Meeting,22,FAC5034,CIVIL,11:00,12:00,2026-06-11,Approved,0.55,3,1
BKG100074,Mech library,Meeting,22,FAC5040,EEE,15:00,16:00,2026-05-06,Approved,0.55,4,0
