exam_id,course_code,department,date,start_time,end_time,student_count
EX1000,IT149,IT,2026-08-16,09:30,12:30,67
EX1001,CIVIL217,CIVIL,2026-08-16,09:30,12:30,84
EX1002,CSE287,CSE,2026-08-16,09:30,12:30,46
EX1003,MECH363,MECH,2026-08-16,13:30,16:30,77
EX1004,EEE154,EEE,2026-08-16,13:30,16:30,49
EX1005,AIDS151,AIDS,2026-08-16,13:30,16:30,89
EX1006,MECH326,MECH,2026-08-17,09:30,12:30,71
EX1007,IT447,IT,2026-08-17,09:30,12:30,75
EX1008,AIDS455,AIDS,2026-08-17,09:30,12:30,45
EX1009,IT453,IT,2026-08-17,13:30,16:30,68
EX1010,CIVIL421,CIVIL,2026-08-17,13:30,16:30,84
EX1011,MECH396,MECH,2026-08-17,13:30,16:30,79
EX1012,AIDS248,AIDS,2026-08-18,09:30,12:30,82
EX1013,IT137,IT,2026-08-18,09:30,12:30,64
EX1014,CIVIL384,CIVIL,2026-08-18,09:30,12:30,86
EX1015,MECH352,MECH,2026-08-18,13:30,16:30,77
EX1016,TEXTILE227,TEXTILE,2026-08-18,13:30,16:30,56
EX1017,CIVIL196,CIVIL,2026-08-18,13:30,16:30,66
EX1018,AIML388,AIML,2026-08-19,09:30,12:30,48
EX1019,ECE433,ECE,2026-08-19,09:30,12:30,87
EX1020,CIVIL156,CIVIL,2026-08-19,09:30,12:30,76
EX1021,CSE291,CSE,2026-08-19,13:30,16:30,46
EX1022,AIDS223,AIDS,2026-08-19,13:30,16:30,75
EX1023,CIVIL370,CIVIL,2026-08-19,13:30,16:30,90
EX1024,CIVIL160,CIVIL,2026-08-20,09:30,12:30,49
EX1025,MECH321,MECH,2026-08-20,09:30,12:30,65
EX1026,ECE352,ECE,2026-08-20,09:30,12:30,47
EX1027,ECE265,ECE,2026-08-20,13:30,16:30,62
EX1028,IT221,IT,2026-08-20,13:30,16:30,76
EX1029,EEE169,EEE,2026-08-20,13:30,16:30,71
